The Tree of Life,2011,2012,https://letterboxd.com/film/the-tree-of-life-2011/,3.8,262722
War Horse,2011,2012,https://letterboxd.com/film/war-horse/,3.4,131275
Amour,2012,2013,https://letterboxd.com/film/amour/,4.2,134015
Argo,2012,2013,https://letterboxd.com/film/argo/,3.7,434026
Beasts of the Southern Wild,2012,2013,https://letterboxd.com/film/beasts-of-the-southern-wild/,3.8,68864
Django Unchained,2012,2013,https://letterboxd.com/film/django-unchained/,4.3,2719283
Les Misérables,2012,2013,https://letterboxd.com/film/les-miserables-2012/,3.6,436427
Life of Pi,2012,2013,https://letterboxd.com/film/life-of-pi/,3.7,848317
Lincoln,2012,2013,https://letterboxd.com/film/lincoln/,3.6,204015
Silver Linings Playbook,2012,2013,https://letterboxd.com/film/silver-linings-playbook/,3.7,886648
Zero Dark Thirty,2012,2013,https://letterboxd.com/film/zero-dark-thirty/,3.7,249366
American Hustle,2013,2014,https://letterboxd.com/film/american-hustle/,3.3,378751
Captain Phillips,2013,2014,https://letterboxd.com/film/captain-phillips/,3.8,350663
Dallas Buyers Club,2013,2014,https://letterboxd.com/film/dallas-buyers-club/,4.0,573953
Gravity,2013,2014,https://letterboxd.com/film/gravity-2013/,3.5,801752
Her,2013,2014,https://letterboxd.com/film/her/,4.0,1963109
Nebraska,2013,2014,https://letterboxd.com/film/nebraska/,4.0,100239
Philomena,2013,2014,https://letterboxd.com/film/philomena/,3.7,56629
12 Years a Slave,2013,2014,https://letterboxd.com/film/12-years-a-slave/,4.2,632984
The Wolf of Wall Street,2013,2014,https://letterboxd.com/film/the-wolf-of-wall-street/,4.0,3293354
American Sniper,2014,2015,https://letterboxd.com/film/american-sniper/,3.4,504973
Birdman or (The Unexpected Virtue of Ignorance),2014,2015,https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/,4.0,1079764
Boyhood,2014,2015,https://letterboxd.com/film/boyhood/,3.8,580452
The Grand Budapest Hotel,2014,2015,https://letterboxd.com/film/the-grand-budapest-hotel/,4.2,2605361
The Imitation Game,2014,2015,https://letterboxd.com/film/the-imitation-game/,3.8,1003089
Selma,2014,2015,https://letterboxd.com/film/selma/,3.8,104119
The Theory of Everything,2014,2015,https://letterboxd.com/film/the-theory-of-everything-2014/,3.6,600213
Whiplash,2014,2015,https://letterboxd.com/film/whiplash-2014/,4.4,3601298
The Big Short,2015,2016,https://letterboxd.com/film/the-big-short/,3.8,942342
Bridge of Spies,2015,2016,https://letterboxd.com/film/bridge-of-spies/,3.6,211595
Brooklyn,2015,2016,https://letterboxd.com/film/brooklyn/,3.8,222533
Mad Max: Fury Road,2015,2016,https://letterboxd.com/film/mad-max-fury-road/,4.2,1917758
The Martian,2015,2016,https://letterboxd.com/film/the-martian/,3.8,1480489
The Revenant,2015,2016,https://letterboxd.com/film/the-revenant-2015/,3.9,1200773
Room,2015,2016,https://letterboxd.com/film/room-2015/,4.0,744155
Spotlight,2015,2016,https://letterboxd.com/film/spotlight/,4.1,551727
Arrival,2016,2017,https://letterboxd.com/film/arrival-2016/,4.1,2150223
Fences,2016,2017,https://letterboxd.com/film/fences-2016/,3.6,119641
Hacksaw Ridge,2016,2017,https://letterboxd.com/film/hacksaw-ridge/,4.0,892775
Hell or High Water,2016,2017,https://letterboxd.com/film/hell-or-high-water/,3.9,321362
Hidden Figures,2016,2017,https://letterboxd.com/film/hidden-figures/,3.9,581267
La La Land,2016,2017,https://letterboxd.com/film/la-la-land/,4.1,3874128
Lion,2016,2017,https://letterboxd.com/film/lion/,3.9,341668
